userId,body
u001,'{"userId":"u001","content":"First post from user 001!"}'
u001,'{"userId":"u001","content":"Having a great day."}'
u001,'{"userId":"u001","content":"Checking out this new platform."}'
u002,'{"userId":"u002","content":"User 002 here, hello everyone."}'
u002,'{"userId":"u002","content":"Just had a coffee."}'
u002,'{"userId":"u002","content":"Working on some Rust code."}'
u002,'{"userId":"u002","content":"Anyone seen the game last night?"}'
u003,'{"userId":"u003","content":"u003 joining the chat."}'
u003,'{"userId":"u003","content":"Is this thing on?"}'
u004,'{"userId":"u004","content":"Good morning world."}'
u004,'{"userId":"u004","content":"My second post."}'
u004,'{"userId":"u004","content":"Sun is shining."}'
u004,'{"userId":"u004","content":"Time for lunch."}'
u004,'{"userId":"u004","content":"Signing off for today."}'
u005,'{"userId":"u005","content":"User 5 reporting in."}'
u005,'{"userId":"u005","content":"Hello from the other side."}'
u006,'{"userId":"u006","content":"Just setting up my profile."}'
u006,'{"userId":"u006","content":"Testing post functionality."}'
u006,'{"userId":"u006","content":"Looks good."}'
u007,'{"userId":"u007","content":"Lucky number 7."}'
u007,'{"userId":"u007","content":"Rolling the dice."}'
u008,'{"userId":"u008","content":"Hello friends."}'
u008,'{"userId":"u008","content":"What is everyone up to?"}'
u008,'{"userId":"u008","content":"Coding late tonight."}'
u008,'{"userId":"u008","content":"Need more coffee."}'
u009,'{"userId":"u009","content":"User 009 saying hi."}'
u009,'{"userId":"u009","content":"Almost at double digits."}'
u010,'{"userId":"u010","content":"User Ten."}'
u010,'{"userId":"u010","content":"Double digits reached."}'
u010,'{"userId":"u010","content":"Celebration time."}'
u011,'{"userId":"u011","content":"User 11 here."}'
u011,'{"userId":"u011","content":"Duplicate digits."}'
u012,'{"userId":"u012","content":"Dozen items."}'
u012,'{"userId":"u012","content":"Bakery run."}'
u012,'{"userId":"u012","content":"Donuts are great."}'
u013,'{"userId":"u013","content":"Unlucky for some."}'
u013,'{"userId":"u013","content":"But not for me."}'
u013,'{"userId":"u013","content":"Feeling lucky actually."}'
u014,'{"userId":"u014","content":"Two weeks."}'
u014,'{"userId":"u014","content":"Fortnight."}'
u015,'{"userId":"u015","content":"Quince."}'
u015,'{"userId":"u015","content":"Fifteen posts?"}'
